41e6c8d1-e6f4-4233-9cc0-ba6c711f3dcb,2022-06-27T16:22:21.027Z,null,BEGINNER,Auto Generated Workout For Movement Bent-over Tricep Extension,THIRTY,PURE_STRENGTH
3123dd08-8f01-44d5-abb2-1849f4bdd0bb,2022-10-31T19:48:13.117Z,This demo workout uses common movements to show key amp features.,INTERMEDIATE,Amp Demo Workout,TEN,PURE_STRENGTH
c7e80fb9-feff-4352-b4ef-c0ed2834f61c,2022-06-12T15:23:44.214Z,null,BEGINNER,Auto Generated Workout For Movement Side Plank,THIRTY,PURE_STRENGTH
1f0378b3-db40-4c5a-b135-cafe9ac0f98e,2022-06-04T15:25:21.505Z,,INTERMEDIATE,Restorative Flow,TWENTY,MOBILITY
9462a999-6e77-4f5d-bcb6-c080dab485bc,2023-03-08T22:07:03.404Z,,INTERMEDIATE,Upper Reboot 12/12,FORTY_FIVE,CIRCUIT_STRENGTH
caf64f6c-44b1-40b9-adfd-e027e59a9ed4,2022-06-09T16:48:20.343Z,null,BEGINNER,Auto Generated Workout For Movement Reverse Fly,THIRTY,PURE_STRENGTH
c6ee4045-2a54-429b-b673-dd93ee15bd7f,2022-09-15T18:38:07.313Z,High intensity challenge working on strength and cardio to enhance upper body stregnth.,INTERMEDIATE,Evolve Bootcamp 4/24,THIRTY,CIRCUIT_STRENGTH
4d5087a2-5716-4151-bd73-991b2bff99ab,2022-06-13T07:18:32.843Z,null,BEGINNER,Auto Generated Workout For Movement Tricep Pushdown,THIRTY,PURE_STRENGTH
8a4ea95c-2ec5-4b3f-a6fd-6dc8e62c37fd,2022-06-08T13:27:45.382Z,null,BEGINNER,Auto Generated Workout For Movement Hammer Curl,THIRTY,PURE_STRENGTH
aca0636e-4739-4382-8e10-07c3e470d13a,2023-03-07T23:15:15.692Z,,INTERMEDIATE,Upper Reboot 3/12,FORTY_FIVE,CIRCUIT_STRENGTH
a98dd4f1-dab1-483e-87fa-157c5179cda8,2022-04-22T16:23:43.413Z,,BEGINNER,Upper Warmup,FIVE,MOBILITY
6efd9c13-da6e-4c30-85e8-f0faf95b6342,2022-06-08T12:57:22.403Z,null,BEGINNER,Auto Generated Workout For Movement Pallof Press,THIRTY,PURE_STRENGTH
aa5232bb-0fa6-4c09-b88a-fc13d2d5eb7c,2022-06-08T12:20:15.217Z,null,BEGINNER,Auto Generated Workout For Movement Chest Press and Core Twist,THIRTY,PURE_STRENGTH
2a1bd7e1-7a76-4da7-a643-b0bb85bfe580,2022-06-08T22:15:34.634Z,null,BEGINNER,Auto Generated Workout For Movement Fly,THIRTY,PURE_STRENGTH
cf061a25-f93c-4161-b97b-39cbe509df3d,2023-02-27T21:14:57.107Z,,INTERMEDIATE,Upper Reboot 1/12,FORTY_FIVE,CIRCUIT_STRENGTH
50a03469-2630-44d1-a13c-ddeb20b94aaf,2022-06-08T11:15:33.866Z,null,BEGINNER,Auto Generated Workout For Movement Chest Press and Core Twist,THIRTY,PURE_STRENGTH
ebf65965-6ca1-470c-9d6a-00b5b6723928,2022-06-06T23:15:00.213Z,,ADVANCED,Ex-Press,FIFTEEN,MUSCLE_ENDURANCE
99753537-1c15-44ec-97ed-11758121a2ca,2022-06-14T14:40:48.502Z,null,BEGINNER,Auto Generated Workout For Movement Hammer Curl,THIRTY,PURE_STRENGTH
4b85597d-c098-464c-b2de-e3ccf9ba2e29,2022-06-04T15:45:47.917Z,,BEGINNER,Recharge and Refresh,FIFTEEN,MOBILITY
e0b9ad62-6ea7-4604-89fc-93d73b5b9459,2022-06-07T11:29:19.742Z,null,BEGINNER,Auto Generated Workout For Movement Side Plank,THIRTY,PURE_STRENGTH
d69a9333-d470-4f15-840f-031c4cd8b714,2022-06-08T09:02:45.442Z,null,BEGINNER,Auto Generated Workout For Movement Single Leg Deadlift,THIRTY,PURE_STRENGTH
143212ee-6053-4eff-8ec9-a4bfd04246b1,2022-06-13T13:11:59.855Z,null,BEGINNER,Auto Generated Workout For Movement Side Plank,THIRTY,PURE_STRENGTH
06102505-51c3-465d-9eec-e8a2c42f4f79,2022-09-22T21:22:08.988Z,"Challenge your muscles and push your limits, with adequate rest periods in between to help you recover and prepare for the next set.",INTERMEDIATE,Chest + Triceps 1/4,FORTY_FIVE,PURE_STRENGTH
94f8b860-e942-4baf-bf73-35d134613ad1,2022-06-12T13:43:22.195Z,null,BEGINNER,Auto Generated Workout For Movement Quad Stretch,THIRTY,PURE_STRENGTH
969b650e-62a6-450d-a622-684bb7f946e3,2022-06-06T22:06:21.374Z,,ADVANCED,Break a Sweat,TEN,MUSCLE_ENDURANCE
3991885a-7518-4397-824e-20d1b55065b2,2022-06-08T15:14:06.545Z,null,BEGINNER,Auto Generated Workout For Movement Side Plank,THIRTY,PURE_STRENGTH
3d08a331-2d02-496a-b6f3-6ca8f953bb2f,2023-05-26T21:17:37.243Z,This is a mobility and balance assessment ,INTERMEDIATE,Assessment,FIFTEEN,MOBILITY
9b3c3449-d6e9-4bb4-ad8a-7f0698410677,2023-02-01T00:36:37.167Z,"Drive hard on Leg day (we know it's not your favorite) and create an eye-catching, aesthetic figure that speaks volumes about your commitment to fitness.",INTERMEDIATE,Shoulders + Legs 4/4,FORTY_FIVE,PURE_STRENGTH
51971f92-1632-4487-b205-f7befa53cdb5,2022-06-12T15:40:15.414Z,null,BEGINNER,Auto Generated Workout For Movement Side Plank,THIRTY,PURE_STRENGTH
